#	English - EN	Spanish - ES	#Korean - KO	Chinese Simplified - ZH	#Chinese Traditional - ZH	#Japanese - JA	#Russian - RU	French - FR
#VERSION								
#								
LAUNCH_NOT_DETECTED	Launcher not detected...	Launcher no detectado...	버전 확인중...	新版检查中...	檢查版本...	バージョンを確認しています…	Лаунчер не обнаружен...	Vérification de la version...
MINIGAMES_TARGETS_NAME	Targeting Targets	Objetivo Los Objetivos	과녁 맞추기	射击标靶	瞄準目標	的当てショット	Выцеливание Целей	Cibles en Folie
MINIGAMES_TARGETS_PAGE_1	Break the targets! You have 6 bullets to do so. Red gives you 1 point, blue 2 points, and yellow 3 points.	¡Destruye los objetivos! Tienes 6 balas para hacerlo. El rojo te otorga 1 punto, el azul 2 puntos y el amarillo 3 puntos.		破坏那些靶子！你一共可以使用六发子弹，红色靶子是1分，蓝色靶子是2分，黄色靶子是3分。		的を壊そう！弾丸が6発あり、赤が1点、青が2点、黄色が3点。	Уничтожь мишени! На это у тебя есть 6 патрон. Красная даёт тебе 1 очко, синяя 2 очка, и жёлтая 3 очка.	Détruisez les cibles ! Vous avez 6 balles pour y arriver. Les rougles donnent 1 point, les bleues 2 points et les jaunes 3 points.
MINIGAMES_TARGETS_PAGE_2	{Left key}{Right key} Move\n{Jump key} Jump\n{Shoot key} Shoot	{Left key}{Right key} Moverse\n{Jump key} Saltar\n{Shoot key} Disparar		{Left key}{Right key} 移动\n{Jump key} 跳跃\n{Shoot key} 射击	{Left key}{Right key} 移動\n{Jump key} 跳躍\n{Shoot key} 射擊	{Left key}{Right key} 移動\n{Jump key} ジャンプ\n{Shoot key} ショット	{Left key}{Right key} Ходьба\n{Jump key} Прыжок\n{Shoot key} Стрельба	{Left key}{Right key} Se déplacer\n{Jump key} Sauter\n{Shoot key} Tirer
MINIGAMES_BULLETS_NAME	Uncertain Bullets	Balas Inciertas		随机子弹	隨機子彈	きまぐれ弾丸	Нестабильные Пули	Balles Incertaines
MINIGAMES_BULLETS_PAGE_1	Dodge the bullets! Blue bullets are water and you can jump infinitely while in them, they also refresh your double jump. Black and white bullets kill you, avoid them! Bouncing cherries will spawn on the bottom so avoid them too!	¡Es hora de esquivar balas! Las azules son agua, puedes saltar mientras estés en ellas y restauran tu salto doble. Las negras con blanco te matan, además aparecerán cerezas rebotantes por la parte inferior, ¡Evítalas!		现在是躲子弹时间！蓝色子弹是水，你可以在水里无限跳，且在水中会重置你的二段跳。黑白相间的子弹碰到会死，躲开它们！一段时间后屏幕下方会出现樱桃在屏幕间不断反弹，你同样需要躲开。		弾丸を躱す時間だ！青い弾丸は水で、その中にいる間は無限にジャンプすることができます。また、白の弾は殺傷能力があるので避けましょう！しばらくすると、バウンドするさくらんぼ(りんご)が出てくるので、それも避けよう！	Уклоняйся от пуль! Синие пули это вода, в которой ты можешь бесконечно прыгать, а также обновлять свой двойной прыжок. Чёрно-белые пули убивают тебя, уклоняйся от них! Скачущие вишни будут появляться внизу, так что от уворачивайся и от них тоже!	C'est l'heure d'esquiver les balles ! Les balles bleues sont de l'eau et vous pouvez sauter à l'infini dedans, elles vous redonnent également votre double saut. Les balles en noir et blanc vous tuent, alors esquivez les ! Après un moment, des cerises rebomdissantes commencent à appaitre en bas alors esquivez les aussi !
MINIGAMES_BULLETS_PAGE_2	{Left key}{Right key} Move\n{Jump key} Jump	{Left key}{Right key} Moverse\n{Jump key} Saltar		{Left key}{Right key} 移动\n{Jump key} 跳跃	{Left key}{Right key} 移動\n{Jump key} 跳躍	{Left key}{Right key} 移動\n{Jump key} ジャンプ	{Left key}{Right key} Ходьба\n{Jump key} Прыжок	{Left key}{Right key} Se déplacer\n{Jump key} Sauter
MINIGAMES_DRAWN_NAME	Drawn Keys	Llaves Dibujadas	열쇠 그림	图画钥匙	圖畫鑰匙	イラストキー	Нарисованные Ключи	Clés Brouillon
MINIGAMES_DRAWN_PAGE_1	Grab as many key drawings as possible. Green gives 1 point, yellow gives 2 points and red gives 3 points. Make use of the blocks below you, if they're green and you jump they're gonna launch you upwards.	Recoge tantas llaves dibujadas como sea posible. El verde otorga 1 punto, el amarillo otorga 2 puntos y el rojo otorga 3 puntos. Aprovecha los bloques debajo de ti, si son verdes y saltas, te lanzarán hacia arriba.		尽你所能收集更多的钥匙图画，绿色是1分，黄色是2分，红色是3分。当你踩在绿色的砖上跳跃时你会被发射得很高。		できるだけ多くのイラストキーを手に入れよう！緑が1ポイント、黄色が2ポイント、赤が3ポイントです。下のブロックが緑色になった時にジャンプすると、大ジャンプできます。	Подбери столько нарисованных ключей, сколько сможешь. Зелёный даст 1 очко, жёлтый даст 2 очка и красный даст 3 очка. Используй блоки под собой. Когда они зелёные, при прыжке они запустят тебя высоко вверх.	Attrapez autant de clés que possible. Les vertes donnent 1 point, les jaunes 2 point et les rouges 3 points. Utilisez les blocs : s'ils sont verts et que vous sautez, ils vont lanceront très haut.
MINIGAMES_DRAWN_PAGE_2	{Left key}{Right key} Move\n{Jump key} Jump	{Left key}{Right key} Moverse\n{Jump key} Saltar		{Left key}{Right key} 移动\n{Jump key} 跳跃	{Left key}{Right key} 移動\n{Jump key} 跳躍	{Left key}{Right key} 移動\n{Jump key} ジャンプ	{Left key}{Right key} Ходьба\n{Jump key} Прыжок	{Left key}{Right key} Se déplacer\n{Jump key} Sauter
MINIGAMES_BUBBLE_NAME	Bubble Derby	Carrera Burbujeante	비눗방울 레이스	泡泡竞速	泡泡競速	バブルダービー	Пузырьковые Дерби	Course de Bulles
MINIGAMES_BUBBLE_PAGE_1	Time for a 3 lap bubble race! It's hard to control, don't try going too fast! If you hit a spike you're unable to move for a bit. Take into account the better you're doing in the race the longer you have to wait.	¡Hora de una carrera de 3 vueltas! ¡Es complicado de controlar, así que no intentes ir muy rápido! Si tocas una espina no podrás moverte por un tiempo. Mientras mejor lo estés haciendo la penalización será mayor.		现在是泡泡赛跑时间！它很难控制所以不要飞的太快！如果你碰到刺了你会在一段时间内不能移动。你在赛跑中做的越好需要等待的时间越长。先绕完三圈的玩家获胜！		泡レースの時間だ！操作が難しいので、あまりスピードを出しすぎないようにしましょう！ 針にぶつかると少しの間動けなくなります。 レースが進めば進むほど、針にぶつかった後の待機時間が長くなることも考慮しよう。 3周したら勝利！	Время для 3-круговой гонки! Управление тяжёлое, так что не разгоняйся слишком сильно! Если врежешься в шип, то какое-то время не сможешь двигаться. Учти, что чем лучше ты закончишь гонку, тем дольше тебе придётся ждать.	C'est l'heure de la course de bulles ! Elles sont difficiles à contrôler alors n'allez pas trop vite ! Si vous touchez une pique vous serez immobilisé un moment. Prennez en compte que plus vous vous en sortez bien dans la course, plus vous devrez attendre longtemps. Soyez le premier à finir les 3 tours pour gagner !
MINIGAMES_BUBBLE_PAGE_2	{Left key}{Up key}{Down key}{Right key} Move	{Left key}{Up key}{Down key}{Right key} Moverse		{Left key}{Up key}{Down key}{Right key} 移动	{Left key}{Up key}{Down key}{Right key} 移動	{Left key}{Up key}{Down key}{Right key} 移動	{Left key}{Up key}{Down key}{Right key} Ходьба	{Left key}{Up key}{Down key}{Right key} Se déplacer
MINIGAMES_SKY_NAME	Sky Diving	Descenso Aéreo	스카이다이빙	空中跳伞	空中跳傘	スカイダイビング	Прыжки с Парашютом	Plongeon Céleste
MINIGAMES_SKY_PAGE_1	I hope you prepared your parachute, because you're falling fast! While you're at it, make sure to touch the yellow saves. Red circles gives you 1 point and green circles gives you 2 points. The one with the most points wins!	¡Espero que tengas listo tu paracaídas, porque caeremos muy rápido! Asegúrate de tocar los saves amarillos. Los círculos de color rojo te darán 1 punto y los verdes 2 puntos. ¡El que haga más puntos gana!		我希望你准备好了降落伞，因为你在下落。在这段时间里，确保你碰到黄色的存档，中心红圈是1分，绿圈是2分。获得最高分的玩家获胜！		パラシュートの準備はできているかい? 落ちている間は、必ず見た目が黄色いセーブに触れてください。 赤丸は1ポイント、緑丸は2ポイントです。 合計ポイントがより多い方が勝ちです！	Надеюсь, вы приготовили свои парашюты, потому что падать мы будем быстро! Пока это происходит, касайся жёлтых сохранений. Красный круг даст тебе 1 очко, а зелёный даст 2 очка. Побеждает тот, кто наберёт больше всего очков!	J'espère que vous avez préparé un parachute, parce que vous tombez très vite ! Pendant que vous y êtes, essayez de toucher les sauvegardes jaunes. Les cercles rouges donnent 1 point et les verts 2 points. Celui avec le plus de points gagne !
MINIGAMES_SKY_PAGE_2	{Left key}{Up key}{Down key}{Right key} Move	{Left key}{Up key}{Down key}{Right key} Moverse		{Left key}{Up key}{Down key}{Right key} 移动	{Left key}{Up key}{Down key}{Right key} 移動	{Left key}{Up key}{Down key}{Right key} 移動	{Left key}{Up key}{Down key}{Right key} Ходьба	{Left key}{Up key}{Down key}{Right key} Se déplacer
MINIGAMES_GOLF_NAME	Golf Course	Campo De Golf	미니골프	高尔夫球场	高爾夫球場	ゴルフコース	Курс Гольфа	Parcours de Golf
MINIGAMES_GOLF_PAGE_1	Mini-golf time! The ball needs to land in the flag hole for a perfect 100 score. If it doesn't, you get points based on how close you were, and if you fall off then no points for you!	¡Hora del minigolf! La pelota debe caer en el hoyo de la bandera para lograr una puntuación perfecta de 100. Si no lo logras, obtendrás puntos en función de qué tan cerca estuviste, ¡Y si te caes no obtendrás puntos!		现在是迷你高尔夫时间！仔细瞄准这一杆。你必须将高尔夫球打进洞以获得满分100分。如果没有进洞，你将根据落点和洞的距离得分，如果你掉出场外则是0分！		ミニゴルフの時間！ショットは慎重にしよう。ボールが旗の穴に入れば100点満点。もし入らなければ、どれだけ近かったかに応じて得点が加算されます！ 	Время мини-гольфа! Мяч должен упасть в лунку с красным флажком, чтобы набрать идеальные 100 очков. В ином случае ты получаешь очки в зависимости от того, насколько близко он был. Если же он упадёт, то ты ничего не получишь.	C'est l'heure du mini-golf ! Préparez votre tir minutieusement. La balle doit atterrir dans le trou pour obtenir un score parfait de 100. Sinon, vous obtiendrez des points en fonction de votre proximité avec le trou. Si la balle tombe, pas de point pour vous !
MINIGAMES_GOLF_PAGE_2	{Left key}{Right key} Adjust Angle\n{Jump key} Use Angle/Use Force\n{Shoot key} Cancel Angle	{Left key}{Right key} Ajustar Ángulo\n{Jump key} Usar Ángulo/Usar Fuerza\n{Shoot key} Cancelar Ángulo		{Left key}{Right key} 调整角度\n{Jump key} 使用角度/使用力度\n{Shoot key} 取消角度	{Left key}{Right key} 調整角度\n{Jump key} 使用角度/使用力度\n{Shoot key} 取消角度	{Left key}{Right key} 角度の調整\n{Jump key} 角度を決定/ショット\n{Shoot key} 角度を決めなおす	{Left key}{Right key} Изменить Угол\n{Jump key} Использовать Угол/Силу\n{Shoot key} Отменить Угол	{Left key}{Right key} Ajuster l'angle\n{Jump key} Utiliser l'angle/Utiliser la force\n{Shoot key} Annuler l'angle
MINIGAMES_WAKA_NAME	Waka Evasion	Evita El Waka	팩맨을 피해요	躲避吃豆人	躲避吃豆人	パックマンの試練	Уклонение Ваки	Évasion Waka
MINIGAMES_WAKA_PAGE_1	The Pac-Man invasion is upon us... pay attention to all the safe trajectories, or else you'll get killed! The last one standing wins!	La invasión de Pac-Man está sobre nosotros... sus trayectorias cambiarán cuando crucen una intercepción al bajar, ¡encuentra el camino seguro o de lo contrario serás eliminado! ¡El último en pie gana!		吃豆人入侵了……注意每一条安全轨道，否则你就会被杀掉！活到最后的玩家获胜！		パックマンの侵略が迫っている... 安全な場所に行きましょう、行かないと死んでしまいます！避けきった最後の1人が勝利！		L'invasion Pac-Man nous tombe dessus... identifiez les trajectoires sans danger, ou vous serez tué ! Le dernier debout gagne !
MINIGAMES_WAKA_PAGE_2	{Left key}{Right key} Change Location	{Left key}{Right key} Cambiar de lugar		{Left key}{Right key} 改变位置	{Left key}{Right key} 改變位置	{Left key}{Right key} 場所を移動する	{Left key}{Right key} Сменить Позицию	{Left key}{Right key} Changer d'emplacement
MINIGAMES_JINGLE_NAME	Jingle Sledge	Trineo Navideño	징글징글한 징글벨	圣诞雪橇	聖誕雪橇	ジングルスレッジ		Traîneau de Noël
MINIGAMES_JINGLE_PAGE_1	Sledge in the snow couldn't be left out! But there's obstacles in the way! Jump to avoid the spikes and shoot to destroy the trees and candies and toggle the colored blocks. First to reach the goal wins!	¡El trineo en la nieve no podía faltar! ¡Pero hay obstáculos en el camino! Salta para evitar las espinas, dispara para destruir los árboles, caramelos y alternar los bloques de colores. ¡El primero en llegar a la meta gana!		这里当然少不了雪橇！但是路上会有很多障碍物！跳跃躲避刺，射击破坏树和糖果，同时切换彩色砖块。第一个到达终点的玩家获胜！		豪雪の中でのソリは外せない！ だけど、行く手は障害物だらけ！ジャンプで針を避けたり、 銃で木や飴を破壊しよう!また、色のついたブロックは銃を売って切り替えよう。 先にゴールにたどり着いた方が勝利!		Le traîneau dans la neige ne pouvait pas être abandonné ! Mais il y a des obstacles sur le chemin ! Sautez pour éviter les piques, tirez pour détruire les arbres et les bonbons, et activez les blocs colorés. Le premier à atteindre l'objectif gagne !
MINIGAMES_JINGLE_PAGE_2	{Jump key} Jump\n{Shoot key} Shoot/Toggle	{Jump key} Saltar\n{Shoot key} Disparar/Alternar		{Jump key} 跳跃\n{Shoot key} 射击/切换	{Jump key} 跳躍\n{Shoot key} 射擊/切換	{Jump key} ジャンプ\n{Shoot key} ショット/切り替え	{Jump key} Прыжок\n{Shoot key} Стрельба/Переключение	{Jump key} Sauter\n{Shoot key} Tirer/Activer/Désactiver
MINIGAMES_TREASURE_NAME	Treasure Trial	La Prueba Del Tesoro				宝探し		
MINIGAMES_TREASURE_PAGE_1	A treasure is hiding! Destroy the blocks to discover it first and be the one to take it!	¡Hay un tesoro escondido! ¡Destruye los bloques para ser el primero en descubrirlo y en alcanzarlo!				宝物が隠れている！ブロックを破壊して最初に発見し、宝物を最初に見つけた人になろう！		
MINIGAMES_TREASURE_PAGE_2	{Left key}{Right key} Move\n{Jump key} Jump Infinitely\n{Shoot key} Shoot	{Left key}{Right key} Moverse\n{Jump key} Salto infinito\n{Shoot key} Disparar				{Left key}{Right key} 移動\n{Jump key} 無限ジャンプ\n{Shoot key} ショット	{Left key}{Right key} Ходьба\n{Jump key} Бесконечный Прыжок\n{Shoot key} Стрельба	
MINIGAMES_CRUSHERS_NAME	Crushers Crushing	Tensión Triturada				クラッシャーの破壊計画		
MINIGAMES_CRUSHERS_PAGE_1	The crushers are mad that you're invading their territory. They will try to crush you and they won't give up.\nLast one standing wins!	A los crushers no les gusta que les invadan su territorio. Intentarán triturarte y no pararán hasta lograrlo.\n¡El último jugador en pie gana!				クラッシャー達は、あなた達がクラッシャーの領土を侵略していることに腹を立てているようです。クラッシャー達はあなたを破壊しようとしてきます。急いで回避しましょう！\n最後まで生き残った人が勝利！		
MINIGAMES_CRUSHERS_PAGE_2	{Left key}{Right key} Move	{Left key}{Right key} Moverse				{Left key}{Right key} 移動	{Left key}{Right key} Ходьба	
MINIGAMES_CLOCKWORK_NAME	Clockwork Calamity	Reloj Caótico				時計仕掛けの災難		
MINIGAMES_CLOCKWORK_PAGE_1	Oh no! The digital clocks are all desynced! It's your job to sync your digital clock to match the analog clock in the middle.\nWhoever gets to 3 points first wins!	¡Oh no! ¡Los relojes digitales están desincronizados! Es tu tarea sincronizar tu reloj digital para que coincida con el reloj analógico del centro.\n¡El primero que obtenga 3 puntos gana!				なんだって！？デジタル時計がすべて同じになっていないだと！？デジタル時計を中央のアナログ時計と同じにするのはあなた達の仕事です。\n最初に3ポイントを獲得した人が勝利！		
MINIGAMES_CLOCKWORK_PAGE_2	{Left key}{Up key}{Down key}{Right key} Move\n{Jump key} Toggle Digit Section	{Left key}{Up key}{Down key}{Right key} Moverse\n{Jump key} Alternar Sección Del Dígito				{Left key}{Up key}{Down key}{Right key} 移動\n{Jump key} 数字部分の切り替え	{Left key}{Up key}{Down key}{Right key} Ходьба\n{Jump key} Переключить Циферблат	
MINIGAMES_CRATES_NAME	Crashed Crates	Cajas Cascadas				木箱クラッシュ		
MINIGAMES_CRATES_PAGE_1	Woah! Crash the crates to obtain points and win!\nTNTs and NITROs stun you but NITROs also take away 1 point, beware!	¡Woah! ¡Destruye las cajas para obtener puntos y ganar!\nLas cajas de TNT y NITRO te paralizarán pero las NITRO además te quitarán 1 punto, ¡Ten cuidado!				木箱を壊してポイントを獲得し、勝利を目指そう！\nTNT と NITRO は触れるとあなたを動けなくしますが、NITRO はさらに1ポイントを追加で奪うので、気を付けてください！		
MINIGAMES_CRATES_PAGE_2	{Shoot key} Spin	{Shoot key} Girar				{Shoot key} スピン	{Shoot key} Крутить	
MINIGAMES_LEAP_NAME	Leap Of Justice	Salto De Justicia				正義の飛躍		
MINIGAMES_LEAP_PAGE_1	Leap of faith? No! Leap of justice!\nGet to the last block before the others by pressing the buttons, but if a button is red then press another one! If you mess up you go back one space.	¿Salto de fe? ¡No! ¡Salto de justicia!\n Alcanza el último bloque antes que los demás pulsando los botones en el orden correcto. Si te equivocas, retrocederás un espacio.				ボタンを押して他のブロックより先に最後のブロックに到達することが目標です。ただし、ボタンが赤の場合は別のボタンを押してください。間違えてしまうと1マス戻ってしまいます。		
MINIGAMES_LEAP_PAGE_2	{Left key}{Up key}{Down key}{Right key}{Jump key}{Shoot key} Buttons	{Left key}{Up key}{Down key}{Right key}{Jump key}{Shoot key} Botones				{Left key}{Up key}{Down key}{Right key}{Jump key}{Shoot key} ボタン	{Left key}{Up key}{Down key}{Right key}{Jump key}{Shoot key} Кнопки	
MINIGAMES_KARTS_NAME	Karts Competition	Competición Kartastrófica				カート競争		
MINIGAMES_KARTS_PAGE_1	Go karts! Prove you're the fastest of them all by reaching 3 laps before anyone else!	¿Una carrera de karts? ¡Demuestra que eres el más rápido de todos completando 3 vueltas antes que nadie!				ゴーカート！誰よりも早くステージを3周して、自分が最速であることを証明しましょう！		
MINIGAMES_KARTS_PAGE_2	{Left key}{Right key} Steer\n{Up key}{Down key} Accelerate Forwards/Backwards\n{Jump key} Jump/Drift\n{Shoot key} Look Behind	{Left key}{Right key} Girar\n{Up key}{Down key} Acelerar/Marcha atrás\n{Jump key} Saltar/Derrapar\n{Shoot key} Mirar atrás				{Left key}{Right key} 操縦\n{Up key}{Down key} 前/後ろに加速\n{Jump key} ジャンプ/ドリフト\n{Shoot key} 後ろを見る	{Left key}{Right key} Подрезать\n{Up key}{Down key} Газ Вперёд/Назад\n{Jump key} Прыжок/Дрифт\n{Shoot key} Смотреть Назад	
#								
#1 VS. 3								
#								
MINIGAMES_AVOID_NAME	Avoid The Anguish	Evasión Angustiosa	개판을 피해라	耐久烦恼	耐久痛苦	耐久大混乱		Esquive Angoissante
MINIGAMES_AVOID_PAGE_1	Your job is to eliminate the {Color}Team Players{Color}, choose a different type of attack by hitting the 3 blocks from below. Each attack is different!	Tu trabajo será eliminar a los jugadores del {Color}Equipo Rival{Color}, elige un tipo de ataque diferente golpeando los 3 bloques de arriba. ¡Cada ataque es diferente!		你的任务是消灭{Color}多人队伍{Color}，在下方顶砖以从三种弹幕类型中选择一种用来攻击。每种攻击都是不一样的！		あなたのやることは、{Color}チームのプレイヤー{Color}を殺すことです。3つのブロックに触れて攻撃して、いろいろな種類の攻撃を選択しましょう。攻撃はそれぞれ異なります。		Votre mission est d'éliminer les {Color}joueurs en équipe{Color}, choisissez un type d'attaque différent en frappant les 3 blocs par le bas. Chaque attaque est différente !
MINIGAMES_AVOID_PAGE_2	Avoid the cherries at all costs! The {Color}Solo Player{Color} is trying to eliminate you with their arsenal of cherries! Pay attention to which block they activate.	¡Evita las cerezas a toda costa! ¡El {Color}Jugador Solitario{Color} intentará eliminarte con su arsenal de cerezas! Presta atención a qué bloque activará.		尽你所能躲避樱桃弹幕！{Color}单人玩家{Color}会尝试用樱桃武器消灭你们！时刻注意对方激活了哪种弹幕。		さくらんぼ(りんご)を避けてください。 {Color}ソロ プレイヤー{Color} はさくらんぼ(りんご)の攻撃を使ってあなたを殺そうとしています！ どのブロックがONになるか注意してください！		Évitez les cerises à tout prix ! Le {Color}joueur solo{Color} essaie de vous éliminer avec son arsenal de cerises ! Observez bien quels blocs il active.
MINIGAMES_AVOID_PAGE_3	{Left key}{Right key} Move\n{Jump key} Jump	{Left key}{Right key} Moverse\n{Jump key} Saltar		{Left key}{Right key} 移动\n{Jump key} 跳跃	{Left key}{Right key} 移動\n{Jump key} 跳躍	{Left key}{Right key} 移動\n{Jump key} ジャンプ	{Left key}{Right key} Ходьба\n{Jump key} Прыжок	{Left key}{Right key} Se déplacer\n{Jump key} Sauter
MINIGAMES_CONVEYOR_NAME	Conveyor Havoc	Estragos en la Cinta	혼란의 컨베이어벨트	传送带之劫	傳送帶浩劫	コンベア大混乱		Tapis Roulant Chaotique
MINIGAMES_CONVEYOR_PAGE_1	That conveyor seems useful. Touch the buttons to change the direction the conveyor goes. Confuse the {Color}Team Players{Color} by changing the conveyor constantly and eliminate them!	Esa cinta transportadora parece útil. Toca los botones para cambiar la dirección en la que se mueve. Confunde a los jugadores del {Color}Equipo Rival{Color} cambiando constantemente la cinta transportadora y elimínalos.		那个传送带看起来很有用，触碰按钮改变传送带的方向。频繁切换方向以扰乱{Color}多人队伍{Color}并消灭他们！		ボタンにタッチしてコンベアの方向を変えましょう。コンベアをずっと変え続けて{Color}チームのプレイヤー{Color}を混乱させ、殺しましょう！		Ce tapis roulant semble utile, touche les boutons pour changer sa direrction. Embrouille les {Color}joueurs en équipe{Color} en changeant constamment le sens, et élimine les !
MINIGAMES_CONVEYOR_PAGE_2	That conveyor is fast, beware! The {Color}Solo Player{Color} is gonna constantly change the conveyor's direction, pay attention and survive!	¡Cuidado con esa cinta transportadora rápida! El {Color}Jugador Solitario{Color} va a cambiar constantemente la dirección de la cinta, ¡presta atención y sobrevive!		传送带很快，要小心！{Color}单人玩家{Color}将会频繁切换传送带的方向，集中注意力并活下来！		コンベアはとても速いので注意！ {Color}ソロ プレイヤー{Color} はコンベアの方向をずっと変え続けてきます。注意して死なないようにしてください！		Ce tapis roulent est rapide, attention ! Le {Color}joueur solo{Color} va constamment changer sa direction, soyez attentif et survivez !
MINIGAMES_CONVEYOR_PAGE_3	{Left key}{Right key} Move\n{Jump key} Jump	{Left key}{Right key} Moverse\n{Jump key} Saltar		{Left key}{Right key} 移动\n{Jump key} 跳跃	{Left key}{Right key} 移動\n{Jump key} 跳躍	{Left key}{Right key} 移動\n{Jump key} ジャンプ	{Left key}{Right key} Ходьба\n{Jump key} Прыжок	{Left key}{Right key} Se déplacer\n{Jump key} Sauter
MINIGAMES_SHOWDOWN_NAME	Number Showdown	Enfrentamiento Numérico	넘버 쇼다운	猜数对决	猜數對決	カブらない対決		Duel de Nombres
MINIGAMES_SHOWDOWN_PAGE_1	Pick a number between 1 and 3.\nIf you happen to choose the same number as\none of the {Color}Team Players{Color}, their block\nfalls apart.	Selecciona un número del 1 al 3.\nSi has elegido el mismo número que alguno de tus rivales, su bloque desaparecerá.		从1到3选一个数字。\n如果你选到了和\n {Color}多人队伍{Color} 某人相同的数字，\n其砖块会消失。		1 から 3 までの数字を選んでください。\n 時間切れになったタイミングで{Color} 対戦相手 {Color}の誰かと同じ数字を選択した場合、その人のブロックは壊れます。全てのプレイヤーを落とすことができれば勝利です。		Choisissez un nombre entre 1 et 3. Si vous choisissez le même nombre que l'un de vos adversaires, leur bloc tombera en miettes.
MINIGAMES_SHOWDOWN_PAGE_2	Pick a number between 1 and 3.\nThat number will be on your block.\nIf that number is the same as the one that\n{Color}Solo Player{Color} picked, then your\nblock breaks.	Selecciona un número del 1 al 3.\nEse número estará en tu bloque. Si el número que elegiste es el mismo que el\n{Color}Jugador Solitario{Color} seleccionó, tu bloque desaparecerá.		从1到3选一个数字。\n这个数字会显示在你的砖块上。\n如果你选到了和{Color}单人玩家{Color}相同的数字，\n那么你的砖块会碎掉。		1から3までの数字を選んでください。\nその数字はブロック上に表示されます。\n時間切れになったタイミングで数字が\n{Color}対戦相手{Color} と数字が同じ場合、ブロックが壊れてしまいます。誰かが最後まで生き残ることができれば勝利です。		Choisissez un nombre entre 1 et 3. Ce nombre sera affiché sur votre bloc. Si le {Color}joueur solo{Color} a choisi le même nombre, votre bloc se détruira.
MINIGAMES_SHOWDOWN_PAGE_3	{Jump key} Select Number\n{Left key}{Right key} Change Number	{Jump key} Seleccionar número\n{Left key}{Right key} Cambiar número		{Jump key} 选择数字\n{Left key}{Right key} 变更数字	{Jump key} 選擇數字\n{Left key}{Right key} 更改數字	{Jump key} 番号を決定する\n{Left key}{Right key} 番号を移動する	{Jump key} Выбрать Число\n{Left key}{Right key} Сменить Число	{Jump key} Confirmer le nombre\n{Left key}{Right key} Changer de nombre
MINIGAMES_COINS_NAME	Getting Coins	Obteniendo Monedas	동전을 모아라	获得金币	獲取金幣	コイン収集家		Pièces à Gogo
MINIGAMES_COINS_PAGE_1	So many coins! Perfect for becoming rich! Grab at least 30 coins to win!	¡Mira todas esas monedas! ¡Perfecto para volverte rico! ¡Consigue al menos 30 monedas para ganar!		有好多金币！这下能完美的成为富翁了！尽你所能的捡金币来获胜！		コインがいっぱい！お金持ちになるには最適！勝つには少なくとも30枚のコインをゲットしてください！		Tant de pièces ! Parfait pour devenir riche ! Attrapez-en antant que possible pour gagner !
MINIGAMES_COINS_PAGE_2	Coins are falling from the tubes! Don't let the {Color}Solo Player{Color} grab 30 coins!	¡Caen monedas de los tubos! ¡No dejes que el {Color}Solo Player{Color} se haga con 30 monedas!				コインが土管から落ちてきます！ {Color}ソロ プレイヤー{Color}に30枚のコインを取られないようにしてください。		
MINIGAMES_COINS_PAGE_3	{Left key}{Right key} Move\n{Jump key} Jump	{Left key}{Right key} Moverse\n{Jump key} Saltar		{Left key}{Right key} 移动\n{Jump key} 跳跃	{Left key}{Right key} 移動\n{Jump key} 跳躍	{Left key}{Right key} 移動\n{Jump key} ジャンプ	{Left key}{Right key} Ходьба\n{Jump key} Прыжок	{Left key}{Right key} Se déplacer\n{Jump key} Sauter
MINIGAMES_RACE_NAME	Gigantic Race	Carrera Gigantesca	기간틱 레이스	巨人赛跑	巨人賽跑	巨人 VS グラディウス		Course Gigantesque
MINIGAMES_RACE_PAGE_1	A sequence of 5 buttons will show up below you. Press all of them in the correct order to advance!	Una secuencia de 5 botones aparecerá debajo de ti. ¡Presiónalos todos en el orden correcto para avanzar!		你的下方将显示连续四个按键。依序操作以前进！		下に5つのボタンが表示されます。正しい順番でキーを押して先へ進みましょう。		Une suite de quatre boutons va apparaitre au dessus de vous. Appuyez sur chacun d'eux dans le bon ordre pour avancer !
MINIGAMES_RACE_PAGE_2	Press the button that shows up above your head on your turn. Once all of you have pressed the three buttons the spaceship will advance!	Presiona el botón que aparezca sobre tu cabeza en tu turno. ¡Una vez que todos hayan presionado los tres botones, la nave espacial avanzará!		在你的回合按下你的上方指示的按键。当三人全部正确按下按键后飞船就会前进！		自分の番になったら、頭上に表示されるボタンを押してください。全員で3つのボタンを押すと、グラディウスが前に進みます。		Appuyez sur le bouton qui s'affiche au dessus de votre tête quand c'est votre tour. Une fois que vous avez tous les trois appuyé sur vos boutons, le vaisseau avancera !
MINIGAMES_RACE_PAGE_3	{Left key}{Up key}{Down key}{Right key}{Jump key}{Shoot key} Buttons	{Left key}{Up key}{Down key}{Right key}{Jump key}{Shoot key} Botones		{Left key}{Up key}{Down key}{Right key}{Jump key}{Shoot key} 按键	{Left key}{Up key}{Down key}{Right key}{Jump key}{Shoot key} 按鍵	{Left key}{Up key}{Down key}{Right key}{Jump key}{Shoot key} 操作	{Left key}{Up key}{Down key}{Right key}{Jump key}{Shoot key} Кнопки	{Left key}{Up key}{Down key}{Right key}{Jump key}{Shoot key} Boutons
MINIGAMES_WARPING_NAME	Warping Up	Portales Arriba		上升传送	上升傳送	ワープアップ		Frénésie Dimensionnelle
